"Density","Momentum:0","Momentum:1","Momentum:2","StagnationEnergy","IntegrationTime","Vorticity:0","Vorticity:1","Vorticity:2","Rotation","AngularVelocity","Normals:0","Normals:1","Normals:2","Points:0","Points:1","Points:2"
1.0104,2.974,1.0872e-06,0.0097171,6.1945,0,-0.00027496,-0.049009,-0.041532,0,-0.00041067,-0.0004381,-0.99695,0.078057,-1.619,0.049876,1.9728
1.0101,2.989,-0.00048554,0.01248,6.21,0.086921,0.001124,0.019105,-0.044876,2.2724e-05,0.00093353,-0.00043819,-0.99695,0.078079,-1.3605,0.049843,1.9739
1.0311,3.0038,0.000651,0.007857,6.2768,0.16638,0.00020717,-0.0055558,-0.075742,6.0126e-05,7.8529e-06,-0.00043826,-0.99694,0.078117,-1.123,0.049853,1.9746
0.98574,2.9412,-0.0010312,0.013262,6.0981,0.24052,0.0023618,-0.049666,-0.063848,0.00013794,0.0020913,-0.00043872,-0.99694,0.078194,-0.90033,0.049825,1.9754
1.0299,3.0163,0.0022949,0.015295,6.2945,0.31058,-0.007079,-0.068492,-0.14383,-6.4149e-05,-0.0078604,-0.00043777,-0.99695,0.077993,-0.69427,0.049923,1.9764
1.2323,3.208,-0.00083559,0.028109,6.9954,0.37264,-0.0017434,-0.18632,0.076026,-0.00033997,-0.0010287,-0.00055178,-0.99698,0.077717,-0.50708,0.04994,1.9776
1.4395,3.3303,0.0065149,0.03244,7.8178,0.38566,-0.0035847,-0.31901,1.326,-0.00028999,0.008707,0.024237,-0.99666,0.07803,-0.46532,0.049942,1.978
3.8672,2.4683,0.37427,0.07056,19.386,0.44604,-0.021799,-0.83935,0.71536,-0.0038647,-0.12712,0.10759,-0.99129,0.075902,-0.2647,0.060074,1.981
4.0352,2.2822,0.43819,0.081321,20.236,0.4542,-0.017557,-0.84329,0.52236,-0.0050287,-0.15788,0.18591,-0.97956,0.076754,-0.2446,0.063509,1.9816
4.0297,2.0966,0.49801,0.11987,20.175,0.46927,-0.093687,-1.4249,-1.1015,-0.0098408,-0.481,0.2246,-0.97166,0.073703,-0.21039,0.070864,1.9832
4.0275,1.9616,0.55004,0.14623,20.144,0.48039,-0.11242,-1.3687,0.70536,-0.014886,-0.42604,0.2698,-0.96025,0.071685,-0.18718,0.076805,1.9847
4.0928,1.7988,0.64468,0.1694,20.462,0.49163,-0.21731,-1.4011,-0.81372,-0.021476,-0.74648,0.34655,-0.93528,0.071804,-0.16537,0.083733,1.9866
4.1362,1.5769,0.83556,0.21919,20.675,0.51314,-0.30772,-1.9587,-2.0113,-0.044828,-1.4253,0.44748,-0.89228,0.059919,-0.12787,0.10029,1.9909
4.1413,1.4854,0.96017,0.24737,20.708,0.52504,-0.3275,-2.2322,-0.10693,-0.062159,-1.4873,0.55056,-0.83276,0.058191,-0.10955,0.11097,1.9937
4.1607,1.3538,1.2332,0.28842,20.838,0.54427,-0.42943,-2.2272,0.60884,-0.092807,-1.7005,0.65805,-0.75147,0.047551,-0.082702,0.1317,1.9988
4.1297,1.3026,1.4786,0.32316,20.708,0.55848,-0.57894,-2.995,1.3944,-0.12172,-2.3697,0.74506,-0.66591,0.038026,-0.064508,0.15026,2.003
